region_id	ancestry	region_class	window_span_mb	n_var	routed_path	est_block_count	est_output_gib	over_threshold
m2_region_00111__sub04	EUR	medium	14.5952	58606	A.3	77.0798771572859	4.706549694356019	False
m2_region_00111__sub05	AFR	medium	10.5952	73565	A.3	91.73923142344272	6.129323690269101	False
m2_region_00111__sub05	EUR	medium	14.5952	61123	A.3	77.0798771572859	5.119503105428349	False
m2_region_00111__sub06	AFR	medium	10.5952	77193	A.3	102.21562513537909	6.748790046180133	False
m2_region_00111__sub06	EUR	medium	14.5952	59880	A.3	77.0798771572859	4.913399421962586	False
m2_region_00111__sub07	AFR	medium	10.5952	80102	A.3	113.258310399312	7.26702740520775	False
m2_region_00111__sub07	EUR	medium	14.5952	58966	A.3	77.0798771572859	4.764549280385693	False
m2_region_00111__sub08	AFR	medium	10.5952	74597	A.3	102.21562513537909	6.302499253014252	False
m2_region_00111__sub08	EUR	medium	14.5952	55320	A.3	67.14513743479128	4.1935596987759505	False
m2_region_00111__sub09	AFR	medium	10.5952	73535	A.3	91.73923142344272	6.124325601031179	False
m2_region_00111__sub09	EUR	medium	14.1905	52701	A.3	59.54686736615326	3.91444249862038	False
m2_region_00111__sub10	AFR	medium	7.5953	53089	A.2	66.75221131511863	4.45295220568002	False
m2_region_00111__sub10	EUR	medium	9.5953	33860	A.2	40.5	2.2929992	False
m2_region_00112	AFR	medium	21.6294	165144	A.3	840.5	54.545081472	True
m2_region_00112	EUR	medium	21.6294	92392	A.3	264.5	17.072563328	True
m2_region_00113	AFR	large	31.334	241621	A.3	1740.5	116.761415282	True
m2_region_00113	EUR	large	31.334	130808	A.3	512.0	34.221465728	True
